mmsi,timestamp,lat,lon,speed_knots,course_deg
100000003,2019-07-28T00:00:00,-9.68911,-29.22179,11.6,23.0
100000004,2019-07-28T00:00:00,-9.39302,-29.08985,13.5,267.5
100000005,2019-07-28T00:00:00,-8.10964,-32.92009,11.6,124.1
240000000,2019-07-28T00:00:00,-7.0,-34.0,14.5,130.0
100000003,2019-07-28T00:05:00,-9.68447,-29.21981,11.6,23.0
100000004,2019-07-28T00:05:00,-9.39317,-29.09328,12.0,267.5
100000005,2019-07-28T00:05:00,-8.11294,-32.91522,14.3,124.1
240000000,2019-07-28T00:05:00,-7.00868,-33.98958,14.5,130.0
100000003,2019-07-28T00:10:00,-9.67983,-29.21784,11.2,23.0
100000004,2019-07-28T00:10:00,-9.39332,-29.0967,11.3,267.5
100000005,2019-07-28T00:10:00,-8.11624,-32.91035,14.3,124.1
240000000,2019-07-28T00:10:00,-7.01736,-33.97917,14.5,130.0
100000003,2019-07-28T00:15:00,-9.67519,-29.21587,14.5,23.0
100000004,2019-07-28T00:15:00,-9.39347,-29.10013,11.5,267.5
100000005,2019-07-28T00:15:00,-8.11953,-32.90548,13.0,124.1
240000000,2019-07-28T00:15:00,-7.02604,-33.96875,14.5,130.0
100000003,2019-07-28T00:20:00,-9.67055,-29.21389,13.4,23.0
100000004,2019-07-28T00:20:00,-9.39362,-29.10355,11.5,267.5
100000005,2019-07-28T00:20:00,-8.12283,-32.9006,11.0,124.1
240000000,2019-07-28T00:20:00,-7.03472,-33.95833,14.5,130.0
100000003,2019-07-28T00:25:00,-9.66591,-29.21192,13.8,23.0
100000004,2019-07-28T00:25:00,-9.39376,-29.10698,11.6,267.5
100000005,2019-07-28T00:25:00,-8.12613,-32.89573,12.1,124.1
240000000,2019-07-28T00:25:00,-7.0434,-33.94792,14.5,130.0
100000003,2019-07-28T00:30:00,-9.66127,-29.20995,11.1,23.0
100000004,2019-07-28T00:30:00,-9.39391,-29.1104,11.6,267.5
100000005,2019-07-28T00:30:00,-8.12943,-32.89086,13.5,124.1
240000000,2019-07-28T00:30:00,-7.05208,-33.9375,14.5,130.0
100000003,2019-07-28T00:35:00,-9.65663,-29.20797,14.9,23.0
100000004,2019-07-28T00:35:00,-9.39406,-29.11383,13.6,267.5
100000005,2019-07-28T00:35:00,-8.13272,-32.88599,14.9,124.1
240000000,2019-07-28T00:35:00,-7.06076,-33.92708,14.5,130.0
100000003,2019-07-28T00:40:00,-9.65199,-29.206,14.3,23.0
100000004,2019-07-28T00:40:00,-9.39421,-29.11725,11.7,267.5
100000005,2019-07-28T00:40:00,-8.13602,-32.88112,13.5,124.1
240000000,2019-07-28T00:40:00,-7.06944,-33.91667,14.5,130.0
100000003,2019-07-28T00:45:00,-9.64735,-29.20403,11.8,23.0
100000004,2019-07-28T00:45:00,-9.39435,-29.12068,12.4,267.5
100000005,2019-07-28T00:45:00,-8.13932,-32.87625,12.0,124.1
240000000,2019-07-28T00:45:00,-7.07812,-33.90625,14.5,130.0
100000003,2019-07-28T00:50:00,-9.64271,-29.20205,11.7,23.0
100000004,2019-07-28T00:50:00,-9.3945,-29.1241,14.6,267.5
100000005,2019-07-28T00:50:00,-8.14262,-32.87138,13.5,124.1
240000000,2019-07-28T00:50:00,-7.08681,-33.89583,14.5,130.0
100000003,2019-07-28T00:55:00,-9.63807,-29.20008,11.7,23.0
100000004,2019-07-28T00:55:00,-9.39465,-29.12753,12.9,267.5
100000005,2019-07-28T00:55:00,-8.14592,-32.86651,13.2,124.1
240000000,2019-07-28T00:55:00,-7.09549,-33.88542,14.5,130.0
100000003,2019-07-28T01:00:00,-9.63343,-29.19811,12.2,23.0
100000004,2019-07-28T01:00:00,-9.3948,-29.13095,13.7,267.5
100000005,2019-07-28T01:00:00,-8.14921,-32.86164,14.1,124.1
240000000,2019-07-28T01:00:00,-7.10417,-33.875,14.5,130.0
100000003,2019-07-28T01:05:00,-9.62879,-29.19613,13.1,23.0
100000004,2019-07-28T01:05:00,-9.39494,-29.13438,11.7,267.5
100000005,2019-07-28T01:05:00,-8.15251,-32.85677,11.4,124.1
240000000,2019-07-28T01:05:00,-7.11285,-33.86458,14.5,130.0
100000003,2019-07-28T01:10:00,-9.62415,-29.19416,12.7,23.0
100000004,2019-07-28T01:10:00,-9.39509,-29.1378,11.8,267.5
100000005,2019-07-28T01:10:00,-8.15581,-32.8519,14.0,124.1
240000000,2019-07-28T01:10:00,-7.12153,-33.85417,14.5,130.0
100000003,2019-07-28T01:15:00,-9.61951,-29.19219,12.2,23.0
100000004,2019-07-28T01:15:00,-9.39524,-29.14123,11.2,267.5
100000005,2019-07-28T01:15:00,-8.15911,-32.84703,13.2,124.1
240000000,2019-07-28T01:15:00,-7.13021,-33.84375,14.5,130.0
100000003,2019-07-28T01:20:00,-9.61487,-29.19021,13.4,23.0
100000004,2019-07-28T01:20:00,-9.39539,-29.14465,11.7,267.5
100000005,2019-07-28T01:20:00,-8.1624,-32.84216,14.9,124.1
240000000,2019-07-28T01:20:00,-7.13889,-33.83333,14.5,130.0
100000003,2019-07-28T01:25:00,-9.61023,-29.18824,11.6,23.0
100000004,2019-07-28T01:25:00,-9.39553,-29.14808,12.1,267.5
100000005,2019-07-28T01:25:00,-8.1657,-32.83729,12.4,124.1
240000000,2019-07-28T01:25:00,-7.14757,-33.82292,14.5,130.0
100000003,2019-07-28T01:30:00,-9.60559,-29.18627,12.2,23.0
100000004,2019-07-28T01:30:00,-9.39568,-29.1515,11.7,267.5
100000005,2019-07-28T01:30:00,-8.169,-32.83242,13.5,124.1
240000000,2019-07-28T01:30:00,-7.15625,-33.8125,14.5,130.0
100000003,2019-07-28T01:35:00,-9.60095,-29.1843,12.5,23.0
100000004,2019-07-28T01:35:00,-9.39583,-29.15493,11.4,267.5
100000005,2019-07-28T01:35:00,-8.1723,-32.82755,14.7,124.1
240000000,2019-07-28T01:35:00,-7.16493,-33.80208,14.5,130.0
100000003,2019-07-28T01:40:00,-9.59631,-29.18232,12.8,23.0
100000004,2019-07-28T01:40:00,-9.39598,-29.15835,11.5,267.5
100000005,2019-07-28T01:40:00,-8.17559,-32.82268,11.4,124.1
240000000,2019-07-28T01:40:00,-7.17361,-33.79167,14.5,130.0
100000003,2019-07-28T01:45:00,-9.59167,-29.18035,14.1,23.0
100000004,2019-07-28T01:45:00,-9.39613,-29.16178,12.8,267.5
100000005,2019-07-28T01:45:00,-8.17889,-32.81781,14.7,124.1
240000000,2019-07-28T01:45:00,-7.18229,-33.78125,14.5,130.0
100000003,2019-07-28T01:50:00,-9.58703,-29.17838,11.8,23.0
100000004,2019-07-28T01:50:00,-9.39627,-29.1652,11.8,267.5
100000005,2019-07-28T01:50:00,-8.18219,-32.81294,13.8,124.1
240000000,2019-07-28T01:50:00,-7.19097,-33.77083,14.5,130.0
100000003,2019-07-28T01:55:00,-9.58239,-29.1764,13.1,23.0
100000004,2019-07-28T01:55:00,-9.39642,-29.16863,12.5,267.5
100000005,2019-07-28T01:55:00,-8.18549,-32.80807,11.3,124.1
240000000,2019-07-28T01:55:00,-7.19965,-33.76042,14.5,130.0
100000003,2019-07-28T02:00:00,-9.57775,-29.17443,13.4,23.0
100000004,2019-07-28T02:00:00,-9.39657,-29.17205,13.0,267.5
100000005,2019-07-28T02:00:00,-8.18878,-32.8032,12.2,124.1
240000000,2019-07-28T02:00:00,-7.20833,-33.75,14.5,130.0
100000003,2019-07-28T02:05:00,-9.57311,-29.17246,11.2,23.0
100000004,2019-07-28T02:05:00,-9.39672,-29.17548,13.8,267.5
100000005,2019-07-28T02:05:00,-8.19208,-32.79833,13.8,124.1
240000000,2019-07-28T02:05:00,-7.21701,-33.73958,14.5,130.0
100000003,2019-07-28T02:10:00,-9.56847,-29.17048,13.4,23.0
100000004,2019-07-28T02:10:00,-9.39686,-29.1789,11.2,267.5
100000005,2019-07-28T02:10:00,-8.19538,-32.79346,11.3,124.1
240000000,2019-07-28T02:10:00,-7.22569,-33.72917,14.5,130.0
100000003,2019-07-28T02:15:00,-9.56383,-29.16851,11.7,23.0
100000004,2019-07-28T02:15:00,-9.39701,-29.18233,14.2,267.5
100000005,2019-07-28T02:15:00,-8.19868,-32.78859,13.3,124.1
240000000,2019-07-28T02:15:00,-7.23437,-33.71875,14.5,130.0
100000003,2019-07-28T02:20:00,-9.55919,-29.16654,11.3,23.0
100000004,2019-07-28T02:20:00,-9.39716,-29.18575,13.5,267.5
100000005,2019-07-28T02:20:00,-8.20197,-32.78372,12.4,124.1
240000000,2019-07-28T02:20:00,-7.24306,-33.70833,14.5,130.0
100000003,2019-07-28T02:25:00,-9.55455,-29.16456,14.8,23.0
100000004,2019-07-28T02:25:00,-9.39731,-29.18918,11.3,267.5
100000005,2019-07-28T02:25:00,-8.20527,-32.77885,13.5,124.1
240000000,2019-07-28T02:25:00,-7.25174,-33.69792,14.5,130.0
100000003,2019-07-28T02:30:00,-9.54991,-29.16259,14.9,23.0
100000004,2019-07-28T02:30:00,-9.39745,-29.1926,14.5,267.5
100000005,2019-07-28T02:30:00,-8.20857,-32.77398,11.2,124.1
240000000,2019-07-28T02:30:00,-7.26042,-33.6875,14.5,130.0
100000003,2019-07-28T02:35:00,-9.54527,-29.16062,14.2,23.0
100000004,2019-07-28T02:35:00,-9.3976,-29.19603,14.7,267.5
100000005,2019-07-28T02:35:00,-8.21187,-32.76911,14.5,124.1
